date,window_size,garch_model,distribution,arma_p,arma_q,forecast_mean,forecast_var,ci_lower,ci_upper,actual_return,in_ci,violation_type,dist_test_pvalue,aic,bic
2018-09-14,200,GJR-GARCH,t,1,1,0.07011563173491209,0.2088509072321261,-0.8255919990223687,0.9658232624921929,0.02754436156614643,True,none,,431.2337996146622,454.28693338773365
2018-09-17,200,GARCH,normal,1,1,0.11891016341870098,0.1753519287481528,-0.7018256122212545,0.9396459390586565,-0.5585290770691441,True,none,,440.3661043849624,456.8326285085849
2018-09-17,200,GARCH,studentst,1,1,0.11318731382622585,0.19230566806714172,-0.7463092276828126,0.9726838553352642,-0.5585290770691441,True,none,,435.67641704615363,455.4362459945006
2018-09-17,200,GARCH,t,1,1,0.11318731382622585,0.19230566806714172,-0.7463092276828126,0.9726838553352642,-0.5585290770691441,True,none,,435.67641704615363,455.4362459945006
2018-09-17,200,EGARCH,normal,1,1,0.1660745083358441,0.16204466366848627,-0.622904517111423,0.9550535337831113,-0.5585290770691441,True,none,,447.9131997351296,464.3797238587521
2018-09-17,200,EGARCH,studentst,1,1,0.11755773461313754,0.17951018226745957,-0.7128523888052506,0.9479678580315257,-0.5585290770691441,True,none,,441.2560432355102,461.0158721838572
2018-09-17,200,EGARCH,t,1,1,0.11755773461313754,0.17951018226745957,-0.7128523888052506,0.9479678580315257,-0.5585290770691441,True,none,,441.2560432355102,461.0158721838572
2018-09-17,200,GJR-GARCH,normal,1,1,0.056858523174806615,0.18878314024068604,-0.794729792430756,0.9084468387803694,-0.5585290770691441,True,none,,429.9369581093776,449.6967870577246
2018-09-17,200,GJR-GARCH,studentst,1,1,0.06526637466613383,0.195878634988444,-0.8021779809912668,0.9327107303235345,-0.5585290770691441,True,none,,430.9040988161575,453.95723258922897
2018-09-17,200,GJR-GARCH,t,1,1,0.06526637466613383,0.195878634988444,-0.8021779809912668,0.9327107303235345,-0.5585290770691441,True,none,,430.9040988161575,453.95723258922897
2018-09-18,200,GARCH,normal,1,1,0.10599750385550505,0.2714986785305063,-0.9152522175387345,1.1272472252497445,0.5354652948006583,True,none,,440.39159410741536,456.8581182310378
2018-09-18,200,GARCH,studentst,1,1,0.11619314940589082,0.2726215493835586,-0.9071662476735372,1.1395525464853187,0.5354652948006583,True,none,,435.79137875994263,455.5512077082896
2018-09-18,200,GARCH,t,1,1,0.11619314940589082,0.2726215493835586,-0.9071662476735372,1.1395525464853187,0.5354652948006583,True,none,,435.79137875994263,455.5512077082896
2018-09-18,200,EGARCH,normal,1,1,0.09107493086651376,0.2886541093459606,-0.9619459020122316,1.1440957637452591,0.5354652948006583,True,none,,447.5358333180556,464.0023574416781
2018-09-18,200,EGARCH,studentst,1,1,0.11201043861879215,0.27953697730844507,-0.9242471486594384,1.1482680258970226,0.5354652948006583,True,none,,441.35155420447336,461.11138315282034
2018-09-18,200,EGARCH,t,1,1,0.11201043861879215,0.27953697730844507,-0.9242471486594384,1.1482680258970226,0.5354652948006583,True,none,,441.35155420447336,461.11138315282034
2018-09-18,200,GJR-GARCH,normal,1,1,0.03253658504143932,0.33377783946210693,-1.0998033928600468,1.1648765629429256,0.5354652948006583,True,none,,430.0856117174641,449.84544066581105
2018-09-18,200,GJR-GARCH,studentst,1,1,0.046166261042715886,0.32928291858154624,-1.0785233726291636,1.1708558947145953,0.5354652948006583,True,none,,431.079750913893,454.1328846869645
2018-09-18,200,GJR-GARCH,t,1,1,0.046166261042715886,0.32928291858154624,-1.0785233726291636,1.1708558947145953,0.5354652948006583,True,none,,431.079750913893,454.1328846869645
2018-09-19,200,GARCH,normal,1,1,0.10755884761882226,0.27497500357340915,-0.9202082237292879,1.1353259189669325,0.12524878341885148,True,none,,441.0230563455874,457.48958046920984
2018-09-19,200,GARCH,studentst,1,1,0.09167376828067686,0.27575051703235826,-0.9375415910901977,1.1208891276515516,0.12524878341885148,True,none,,436.4958813287895,456.2557102771365
2018-09-19,200,GARCH,t,1,1,0.09167376828067686,0.27575051703235826,-0.9375415910901977,1.1208891276515516,0.12524878341885148,True,none,,436.4958813287895,456.2557102771365
2018-09-19,200,EGARCH,normal,1,1,0.12973753023793183,0.3230413334042044,-0.9842418141192124,1.243716874595076,0.12524878341885148,True,none,,448.1439304659808,464.61045458960325
2018-09-19,200,EGARCH,studentst,1,1,0.10302475144801991,0.300613891466913,-0.9715895444734327,1.1776390473694724,0.12524878341885148,True,none,,441.99191211283085,461.7517410611778
2018-09-19,200,EGARCH,t,1,1,0.10302475144801991,0.300613891466913,-0.9715895444734327,1.1776390473694724,0.12524878341885148,True,none,,441.99191211283085,461.7517410611778
